Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
308,Nazr Mohammed,C,38,OKC,5,0,19,3,5,0,0,3,5,2,2,1,3,4,0,0,0,3,4,8
309,Greg Monroe,C,25,MIL,79,67,2314,491,941,0,1,491,940,228,308,218,478,696,178,72,67,129,163,1210
310,Luis Montero,SG,22,POR,12,0,42,5,19,1,9,4,10,3,4,0,4,4,1,0,0,4,1,14
311,E'Twaun Moore,SG,26,CHI,59,22,1263,187,389,47,104,140,285,22,35,19,114,133,99,37,18,53,103,443
312,Eric Moreland,PF,24,SAC,8,0,48,3,6,0,0,3,6,2,4,3,8,11,1,0,4,3,4,8
313,Marcus Morris,SF,26,DET,80,80,2856,410,945,108,298,302,647,203,271,91,313,404,201,67,23,140,170,1131
314,Markieff Morris,PF,26,TOT,64,45,1629,305,718,47,155,258,563,108,147,73,279,352,124,58,34,135,184,765
314,Markieff Morris,PF,26,PHO,37,24,917,171,431,22,76,149,355,66,92,43,151,194,87,33,17,90,104,430
314,Markieff Morris,PF,26,WAS,27,21,712,134,287,25,79,109,208,42,55,30,128,158,37,25,17,45,80,335
315,Anthony Morrow,SG,30,OKC,68,6,926,136,333,79,204,57,129,29,39,10,52,62,24,22,5,17,64,380
316,Donatas Motiejunas,PF,25,HOU,37,22,547,90,205,16,57,74,148,34,53,37,72,109,41,17,5,44,69,230
317,Timofey Mozgov,C,29,CLE,76,48,1326,203,359,1,7,202,352,68,95,110,227,337,33,22,57,71,159,475
318,Emmanuel Mudiay,PG,19,DEN,68,66,2068,329,905,74,232,255,673,140,209,32,200,232,372,65,35,217,141,872
319,Shabazz Muhammad,SF,23,MIN,82,0,1682,317,681,44,152,273,529,185,242,100,167,267,52,24,7,70,94,863
320,Xavier Munford,SG,23,MEM,14,0,244,32,77,9,23,23,54,7,14,3,28,31,22,13,3,15,25,80
321,Mike Muscala,C,24,ATL,60,0,565,76,152,12,39,64,113,31,39,38,79,117,34,13,27,27,72,195
322,Larry Nance,PF,23,LAL,63,22,1266,158,300,1,10,157,290,32,47,101,211,312,44,54,23,41,124,349
323,Shabazz Napier,PG,24,ORL,55,0,600,68,201,34,104,34,97,33,45,9,46,55,97,23,1,46,38,203
324,Gary Neal,SG,31,WAS,40,2,807,151,325,41,100,110,225,47,55,11,72,83,47,20,1,29,55,390
325,Jameer Nelson,PG,33,DEN,39,15,1036,113,307,43,144,70,163,30,35,19,96,115,190,25,5,66,100,299
326,Raul Neto,PG,23,UTA,81,53,1499,180,418,64,162,116,256,52,70,17,103,120,174,62,2,109,122,476
